State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
ALABAMA,755552,49363.24,15.31
ALASKA,132104,8170.64,16.17
AMERICAN SAMOA,–,–,–
ARIZONA,1071751,50030.62,21.42
ARKANSAS,482114,34272.8,14.07
BUREAU OF INDIAN EDUCATION,41962,–,–
CALIFORNIA,6289578,260806.3,24.12
COLORADO,843316,48542.99,17.37
CONNECTICUT,560546,42951.39,13.05
DELAWARE,129403,8933,14.49
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–
DISTRICT OF COLUMBIA,71284,5925.33,12.03
FLORIDA,2643347,175609.29,15.05
GEORGIA,1677067,112459.6,14.91
GUAM,31618,1843,17.16
HAWAII,179601,11395.95,15.76
IDAHO,275859,15672.54,17.6
ILLINOIS,2091654,132982.73,15.73
INDIANA,1047232,58121,18.02
IOWA,495775,34642.08,14.31
KANSAS,483701,34643.8,13.96
KENTUCKY,673128,42041.84,16.01
LOUISIANA,696558,48655.03,14.32
MAINE,189077,15384.3,12.29
MARYLAND,852211,58428.47,14.59
MASSACHUSETTS,955563,68754.39,13.9
MICHIGAN,1587067,88614.71,17.91
MINNESOTA,838037,52671.71,15.91
MISSISSIPPI,490526,32254.83,15.21
MISSOURI,918710,66734.84,13.77
MONTANA,141693,10360.99,13.68
NEBRASKA,298500,22345.16,13.36
NEVADA,437149,21839.48,20.02
NEW HAMPSHIRE,194711,15365.2,12.67
NEW JERSEY,1402548,110202.4,12.73
NEW MEXICO,338122,22437.43,15.07
NEW YORK,2734955,211605.54,12.92
NORTH CAROLINA,1490605,98357.47,15.15
NORTH DAKOTA,96323,8416.95,11.44
NORTHERN MARIANAS,11105,607,18.29
OHIO,1754191,109281.94,16.05
OKLAHOMA,659911,41277.8,15.99
OREGON,570720,28109.27,20.3
PENNSYLVANIA,1793284,129911.39,13.8
PUERTO RICO,473735,36505.93,12.98
RHODE ISLAND,143793,11211.8,12.83
SOUTH CAROLINA,725838,45210.4,16.05
SOUTH DAKOTA,126128,9511.67,13.26
TENNESSEE,987422,66558.1,14.84
TEXAS,4935715,334996.94,14.73
U.S. VIRGIN ISLANDS,15495,1457,10.63
UTAH,585552,25676.71,22.8
VERMONT,96858,8382.08,11.56
VIRGINIA,1251440,70947.13,17.64
WASHINGTON,1043788,53934.11,19.35
WEST VIRGINIA,282879,20338.46,13.91
WISCONSIN,872286,57625.42,15.14
WYOMING,89009,7127.45,12.49